Time,Name,Price
11:37:11,ABCAPITAL.NS,47.8
11:37:14,ABCAPITAL.NS,47.85
11:37:17,ABCAPITAL.NS,47.85
11:37:20,ABCAPITAL.NS,47.8
11:37:23,ABCAPITAL.NS,47.7
11:37:26,ABCAPITAL.NS,47.8
11:37:29,ABCAPITAL.NS,47.7
11:37:32,ABCAPITAL.NS,47.7
11:37:35,ABCAPITAL.NS,47.85
11:37:38,ABCAPITAL.NS,47.8
11:37:41,ABCAPITAL.NS,47.75
11:37:44,ABCAPITAL.NS,47.8
11:37:50,ABCAPITAL.NS,47.8
11:37:53,ABCAPITAL.NS,47.85
11:37:56,ABCAPITAL.NS,47.75
11:38:02,ABCAPITAL.NS,47.75
11:38:05,ABCAPITAL.NS,47.75
11:38:09,ABCAPITAL.NS,47.8
11:38:12,ABCAPITAL.NS,47.85
11:38:15,ABCAPITAL.NS,47.7
11:38:18,ABCAPITAL.NS,47.8
11:38:21,ABCAPITAL.NS,47.75
11:38:24,ABCAPITAL.NS,47.85
11:38:27,ABCAPITAL.NS,47.75
11:38:30,ABCAPITAL.NS,47.85
11:38:33,ABCAPITAL.NS,47.85
11:38:36,ABCAPITAL.NS,47.85
11:38:39,ABCAPITAL.NS,47.8
11:38:42,ABCAPITAL.NS,47.8
11:38:45,ABCAPITAL.NS,47.8
11:38:48,ABCAPITAL.NS,47.8
11:38:51,ABCAPITAL.NS,47.75
11:38:54,ABCAPITAL.NS,47.8
11:38:57,ABCAPITAL.NS,47.8
11:39:00,ABCAPITAL.NS,47.75
11:39:03,ABCAPITAL.NS,47.75
11:39:06,ABCAPITAL.NS,47.75
11:39:09,ABCAPITAL.NS,47.75
11:39:12,ABCAPITAL.NS,47.75
11:39:18,ABCAPITAL.NS,47.75
11:39:21,ABCAPITAL.NS,47.75
11:39:24,ABCAPITAL.NS,47.8
11:39:27,ABCAPITAL.NS,47.8
11:39:30,ABCAPITAL.NS,47.8
11:39:33,ABCAPITAL.NS,47.75
11:39:36,ABCAPITAL.NS,47.75
11:39:39,ABCAPITAL.NS,47.75
11:39:45,ABCAPITAL.NS,47.75
11:39:48,ABCAPITAL.NS,47.8
11:39:51,ABCAPITAL.NS,47.8
11:39:54,ABCAPITAL.NS,47.75
11:39:57,ABCAPITAL.NS,47.75
11:40:00,ABCAPITAL.NS,47.75
11:40:03,ABCAPITAL.NS,47.75
11:40:06,ABCAPITAL.NS,47.75
11:40:09,ABCAPITAL.NS,47.75
11:40:12,ABCAPITAL.NS,47.75
11:40:15,ABCAPITAL.NS,47.75
11:40:18,ABCAPITAL.NS,47.7
11:40:21,ABCAPITAL.NS,47.75
11:40:24,ABCAPITAL.NS,47.75
11:40:27,ABCAPITAL.NS,47.75
11:40:30,ABCAPITAL.NS,47.75
11:40:33,ABCAPITAL.NS,47.75
11:40:36,ABCAPITAL.NS,47.75
11:40:42,ABCAPITAL.NS,47.75
11:40:45,ABCAPITAL.NS,47.85
11:40:48,ABCAPITAL.NS,47.75
11:40:51,ABCAPITAL.NS,47.75
11:40:54,ABCAPITAL.NS,47.8
11:40:57,ABCAPITAL.NS,47.7
11:41:01,ABCAPITAL.NS,47.75
11:41:04,ABCAPITAL.NS,47.75
11:41:07,ABCAPITAL.NS,47.8
11:41:10,ABCAPITAL.NS,47.7
11:41:13,ABCAPITAL.NS,47.75
11:41:16,ABCAPITAL.NS,47.7
11:41:19,ABCAPITAL.NS,47.7
11:41:22,ABCAPITAL.NS,47.75
11:41:25,ABCAPITAL.NS,47.7
11:41:28,ABCAPITAL.NS,47.75
11:41:31,ABCAPITAL.NS,47.75
11:41:34,ABCAPITAL.NS,47.7
11:41:37,ABCAPITAL.NS,47.7
11:41:40,ABCAPITAL.NS,47.85
11:41:43,ABCAPITAL.NS,47.7
11:41:46,ABCAPITAL.NS,47.7
11:41:49,ABCAPITAL.NS,47.7
11:41:52,ABCAPITAL.NS,47.75
11:41:55,ABCAPITAL.NS,47.7
11:41:58,ABCAPITAL.NS,47.7
11:42:01,ABCAPITAL.NS,47.7
11:42:04,ABCAPITAL.NS,47.8
11:42:07,ABCAPITAL.NS,47.7
11:42:10,ABCAPITAL.NS,47.75
11:42:13,ABCAPITAL.NS,47.7
11:42:16,ABCAPITAL.NS,47.7
11:42:19,ABCAPITAL.NS,47.7
11:42:23,ABCAPITAL.NS,47.75
11:42:26,ABCAPITAL.NS,47.7
11:42:29,ABCAPITAL.NS,47.7
11:42:32,ABCAPITAL.NS,47.7
11:42:35,ABCAPITAL.NS,47.7
11:42:38,ABCAPITAL.NS,47.7
11:42:41,ABCAPITAL.NS,47.7
11:42:44,ABCAPITAL.NS,47.7
11:42:47,ABCAPITAL.NS,47.7
11:42:50,ABCAPITAL.NS,47.7
11:42:53,ABCAPITAL.NS,47.8
11:42:56,ABCAPITAL.NS,47.7
11:42:59,ABCAPITAL.NS,47.75
11:43:02,ABCAPITAL.NS,47.75
11:43:05,ABCAPITAL.NS,47.75
11:43:09,ABCAPITAL.NS,47.7
11:43:12,ABCAPITAL.NS,47.8
11:43:15,ABCAPITAL.NS,47.7
11:43:18,ABCAPITAL.NS,47.7
11:43:21,ABCAPITAL.NS,47.8
11:43:24,ABCAPITAL.NS,47.75
11:43:27,ABCAPITAL.NS,47.75
11:43:30,ABCAPITAL.NS,47.8
11:43:33,ABCAPITAL.NS,47.75
11:43:36,ABCAPITAL.NS,47.7
11:43:42,ABCAPITAL.NS,47.85
11:43:46,ABCAPITAL.NS,47.75
11:43:49,ABCAPITAL.NS,47.75
11:43:52,ABCAPITAL.NS,47.75
11:43:55,ABCAPITAL.NS,47.6
11:43:58,ABCAPITAL.NS,47.8
11:44:01,ABCAPITAL.NS,47.75
11:44:07,ABCAPITAL.NS,47.75
11:44:10,ABCAPITAL.NS,47.85
11:44:13,ABCAPITAL.NS,47.7
11:44:16,ABCAPITAL.NS,47.8
11:44:19,ABCAPITAL.NS,47.8
11:44:22,ABCAPITAL.NS,47.75
11:44:25,ABCAPITAL.NS,47.75
11:44:28,ABCAPITAL.NS,47.7
11:44:31,ABCAPITAL.NS,47.85
11:44:34,ABCAPITAL.NS,47.75
11:44:40,ABCAPITAL.NS,47.8
11:44:46,ABCAPITAL.NS,47.7
11:44:49,ABCAPITAL.NS,47.85
11:44:52,ABCAPITAL.NS,47.8
11:44:55,ABCAPITAL.NS,47.85
11:44:58,ABCAPITAL.NS,47.7
11:45:04,ABCAPITAL.NS,47.7
11:45:07,ABCAPITAL.NS,47.85
11:45:10,ABCAPITAL.NS,47.8
11:45:13,ABCAPITAL.NS,47.85
11:45:16,ABCAPITAL.NS,47.8
11:45:20,ABCAPITAL.NS,47.8
11:45:23,ABCAPITAL.NS,47.8
11:45:29,ABCAPITAL.NS,47.85
11:45:32,ABCAPITAL.NS,47.8
11:45:35,ABCAPITAL.NS,47.65
11:45:38,ABCAPITAL.NS,47.85
11:45:41,ABCAPITAL.NS,47.85
11:45:44,ABCAPITAL.NS,47.85
11:45:47,ABCAPITAL.NS,47.85
11:45:50,ABCAPITAL.NS,47.85
11:45:53,ABCAPITAL.NS,47.85
11:45:59,ABCAPITAL.NS,47.8
11:46:02,ABCAPITAL.NS,47.8
11:46:05,ABCAPITAL.NS,47.8
11:46:08,ABCAPITAL.NS,47.6
11:46:11,ABCAPITAL.NS,47.85
11:46:14,ABCAPITAL.NS,47.85
11:46:17,ABCAPITAL.NS,47.75
11:46:20,ABCAPITAL.NS,47.7
11:46:23,ABCAPITAL.NS,47.8
11:46:26,ABCAPITAL.NS,47.75
11:46:29,ABCAPITAL.NS,47.75
11:46:32,ABCAPITAL.NS,47.75
11:46:35,ABCAPITAL.NS,47.8
11:46:38,ABCAPITAL.NS,47.8
11:46:41,ABCAPITAL.NS,47.8
11:46:47,ABCAPITAL.NS,47.8
11:46:50,ABCAPITAL.NS,47.65
11:46:53,ABCAPITAL.NS,47.65
11:46:57,ABCAPITAL.NS,47.6
11:47:00,ABCAPITAL.NS,47.75
11:47:03,ABCAPITAL.NS,47.7
11:47:06,ABCAPITAL.NS,47.7
11:47:09,ABCAPITAL.NS,47.65
11:47:18,ABCAPITAL.NS,47.7
11:47:21,ABCAPITAL.NS,47.65
11:47:24,ABCAPITAL.NS,47.65
11:47:27,ABCAPITAL.NS,47.7
11:47:30,ABCAPITAL.NS,47.7
11:47:33,ABCAPITAL.NS,47.7
11:47:36,ABCAPITAL.NS,47.7
11:47:39,ABCAPITAL.NS,47.6
11:47:42,ABCAPITAL.NS,47.75
11:47:45,ABCAPITAL.NS,47.6
11:47:48,ABCAPITAL.NS,47.6
11:47:51,ABCAPITAL.NS,47.7
11:47:55,ABCAPITAL.NS,47.7
11:47:58,ABCAPITAL.NS,47.6
11:48:01,ABCAPITAL.NS,47.55
11:48:04,ABCAPITAL.NS,47.6
11:48:07,ABCAPITAL.NS,47.6
11:48:13,ABCAPITAL.NS,47.6
11:48:16,ABCAPITAL.NS,47.6
11:48:19,ABCAPITAL.NS,47.6
11:48:25,ABCAPITAL.NS,47.6
11:48:32,ABCAPITAL.NS,47.65
11:48:42,ABCAPITAL.NS,47.6
11:48:51,ABCAPITAL.NS,47.7
11:48:54,ABCAPITAL.NS,47.7
11:48:57,ABCAPITAL.NS,47.6
11:49:21,ABCAPITAL.NS,47.65
11:49:36,ABCAPITAL.NS,47.7
11:49:45,ABCAPITAL.NS,47.7
11:49:52,ABCAPITAL.NS,47.7
11:50:07,ABCAPITAL.NS,47.9
11:50:22,ABCAPITAL.NS,47.7
11:50:28,ABCAPITAL.NS,47.7
11:50:31,ABCAPITAL.NS,47.65
11:50:34,ABCAPITAL.NS,47.55
11:50:40,ABCAPITAL.NS,47.7
11:50:43,ABCAPITAL.NS,47.7
11:50:46,ABCAPITAL.NS,47.6
11:50:49,ABCAPITAL.NS,47.7
11:50:52,ABCAPITAL.NS,47.7
11:50:58,ABCAPITAL.NS,47.7
11:51:01,ABCAPITAL.NS,47.6
11:51:04,ABCAPITAL.NS,47.7
11:51:07,ABCAPITAL.NS,47.7
11:51:19,ABCAPITAL.NS,47.55
11:51:22,ABCAPITAL.NS,47.55
11:51:25,ABCAPITAL.NS,47.75
11:51:31,ABCAPITAL.NS,47.6
11:51:34,ABCAPITAL.NS,47.75
11:51:47,ABCAPITAL.NS,47.75
11:52:05,ABCAPITAL.NS,47.7
11:52:08,ABCAPITAL.NS,47.75
11:52:32,ABCAPITAL.NS,47.75
11:52:54,ABCAPITAL.NS,47.65
11:53:15,ABCAPITAL.NS,47.65
11:53:21,ABCAPITAL.NS,47.55
11:54:09,ABCAPITAL.NS,47.55
11:54:18,ABCAPITAL.NS,47.7
11:54:39,ABCAPITAL.NS,47.65
11:55:06,ABCAPITAL.NS,47.65
11:55:40,ABCAPITAL.NS,47.55
11:55:49,ABCAPITAL.NS,47.55
11:59:06,ABCAPITAL.NS,47.65
11:59:09,ABCAPITAL.NS,47.65
11:59:12,ABCAPITAL.NS,47.7
11:59:15,ABCAPITAL.NS,47.6
11:59:18,ABCAPITAL.NS,47.65
11:59:21,ABCAPITAL.NS,47.65
11:59:24,ABCAPITAL.NS,47.65
11:59:27,ABCAPITAL.NS,47.65
11:59:31,ABCAPITAL.NS,47.65
11:59:34,ABCAPITAL.NS,47.65
11:59:37,ABCAPITAL.NS,47.65
11:59:40,ABCAPITAL.NS,47.9
11:59:43,ABCAPITAL.NS,47.9
11:59:46,ABCAPITAL.NS,47.8
11:59:49,ABCAPITAL.NS,47.8
11:59:52,ABCAPITAL.NS,47.7
11:59:55,ABCAPITAL.NS,47.7
11:59:59,ABCAPITAL.NS,47.7
12:00:02,ABCAPITAL.NS,47.7
12:00:05,ABCAPITAL.NS,47.7
12:00:08,ABCAPITAL.NS,47.7
12:00:11,ABCAPITAL.NS,47.7
12:00:14,ABCAPITAL.NS,47.65
12:00:17,ABCAPITAL.NS,47.65
12:00:20,ABCAPITAL.NS,47.65
12:00:23,ABCAPITAL.NS,47.65
12:00:26,ABCAPITAL.NS,47.65
12:00:29,ABCAPITAL.NS,47.65
12:00:32,ABCAPITAL.NS,47.7
12:00:35,ABCAPITAL.NS,47.8
12:00:38,ABCAPITAL.NS,47.8
